time,voltage
3064.9,-41.31596877
3065,-41.22024913
3065.1,-41.12660964
3065.2,-41.03510899
3065.3,-40.94580517
3065.4,-40.85875552
3065.5,-40.77401663
3065.6,-40.69164439
3065.7,-40.61169391
3065.8,-40.53421954
3065.9,-40.45927484
3066,-40.38691255
3066.1,-40.3171846
3066.2,-40.25014202
3066.3,-40.18583503
3066.4,-40.12431293
3066.5,-40.06562411
3066.6,-40.00981606
3066.7,-39.9569353
3066.8,-39.90702742
3066.9,-39.86013701
3067,-39.8163077
3067.1,-39.77558209
3067.2,-39.73800176
3067.3,-39.70360726
3067.4,-39.67243808
3067.5,-39.64453265
3067.6,-39.61992831
3067.7,-39.59866132
3067.8,-39.58076681
3067.9,-39.56627882
3068,-39.55523022
3068.1,-39.54765276
3068.2,-39.54357702
3068.3,-39.54303242
3068.4,-39.54604719
3068.5,-39.55264839
3068.6,-39.56286184
3068.7,-39.5767122
3068.8,-39.59422288
3068.9,-39.61541606
3069,-39.64031271
3069.1,-39.66893252
3069.2,-39.70129396
3069.3,-39.73741423
3069.4,-39.77730926
3069.5,-39.82099372
3069.6,-39.868481
3069.7,-39.9197832
3069.8,-39.97491114
3069.9,-40.03387437
3070,-40.0966811
3070.1,-40.16333829
3070.2,-40.23385158
3070.3,-40.3082253
3070.4,-40.38646248
3070.5,-40.46856487
3070.6,-40.55453286
3070.7,-40.6443656
3070.8,-40.73806087
3070.9,-40.83561519
3071,-40.93702375
3071.1,-41.04228044
3071.2,-41.15137785
3071.3,-41.26430728
3071.4,-41.38105872
3071.5,-41.50162087
3071.6,-41.62598115
3071.7,-41.75412567
3071.8,-41.88603928
3071.9,-42.02170556
3072,-42.16110679
3072.1,-42.30422403
3072.2,-42.45103703
3072.3,-42.60152434
3072.4,-42.75566324
3072.5,-42.91342977
3072.6,-43.07479877
3072.7,-43.23974382
3072.8,-43.40823734
3072.9,-43.58025052
3073,-43.75575336
3073.1,-43.93471469
3073.2,-44.11710219
3073.3,-44.30288234
3073.4,-44.49202052
3073.5,-44.68448095
3073.6,-44.88022674
3073.7,-45.07921989
3073.8,-45.28142131
3073.9,-45.48679084
3074,-45.69528723
3074.1,-45.9068682
3074.2,-46.12149042
3074.3,-46.33910955
3074.4,-46.55968025
3074.5,-46.78315617
3074.6,-47.00949001
3074.7,-47.23863349
3074.8,-47.47053742
3074.9,-47.70515167
3075,-47.9424252
3075.1,-48.18230611
3075.2,-48.42474161
3075.3,-48.66967807
3075.4,-48.91706103
3075.5,-49.16683522
3075.6,-49.41894458
3075.7,-49.67333228
3075.8,-49.92994074
3075.9,-50.18871164
3076,-50.44958597
3076.1,-50.71250402
3076.2,-50.9774054
3076.3,-51.2442291
3076.4,-51.51291347
3076.5,-51.78339626
3076.6,-52.05561465
3076.7,-52.32950525
3076.8,-52.60500413
3076.9,-52.88204686
3077,-53.16056852
3077.1,-53.44050373
3077.2,-53.72178663
3077.3,-54.00435099
3077.4,-54.28813015
3077.5,-54.57305709
3077.6,-54.85906444
3077.7,-55.14608451
3077.8,-55.43404928
3077.9,-55.7228905
3078,-56.01253963
3078.1,-56.30292793
3078.2,-56.59398643
3078.3,-56.88564599
3078.4,-57.17783733
3078.5,-57.47049102
3078.6,-57.76353753
3078.7,-58.05690727
3078.8,-58.35053056
3078.9,-58.64433771
3079,-58.93825903
3079.1,-59.23222482
3079.2,-59.52616546
3079.3,-59.82001137
3079.4,-60.11369307
3079.5,-60.40714121
3079.6,-60.70028656
3079.7,-60.99306008
3079.8,-61.28539291
3079.9,-61.57721639
3080,-61.86846213
3080.1,-62.15906199
3080.2,-62.44894811
3080.3,-62.73805296
3080.4,-63.02630934
3080.5,-63.3136504
3080.6,-63.60000969
3080.7,-63.88532116
3080.8,-64.16951918
3080.9,-64.4525386
3081,-64.73431474
3081.1,-65.0147834
3081.2,-65.29388092
3081.3,-65.57154419
3081.4,-65.84771067
3081.5,-66.12231839
3081.6,-66.39530601
3081.7,-66.66661282
3081.8,-66.93617876
3081.9,-67.20394447
3082,-67.46985125
3082.1,-67.73384116
3082.2,-67.99585696
3082.3,-68.25584219
3082.4,-68.51374118
3082.5,-68.76949904
3082.6,-69.02306171
3082.7,-69.27437595
3082.8,-69.52338941
3082.9,-69.77005057
3083,-70.01430885
3083.1,-70.25611455
3083.2,-70.49541891
3083.3,-70.7321741
3083.4,-70.96633329
3083.5,-71.19785058
3083.6,-71.4266811
3083.7,-71.65278098
3083.8,-71.87610738
3083.9,-72.0966185
3084,-72.31427358
3084.1,-72.52903296
3084.2,-72.74085804
3084.3,-72.94971133
3084.4,-73.15555645
3084.5,-73.35835814
3084.6,-73.55808227
3084.7,-73.75469588
3084.8,-73.94816713
3084.9,-74.13846539
3085,-74.3255612
3085.1,-74.50942627
3085.2,-74.69003354
3085.3,-74.86735714
3085.4,-75.04137242
3085.5,-75.21205598
3085.6,-75.37938563
3085.7,-75.54334043
3085.8,-75.70390069
3085.9,-75.86104799
3086,-76.01476516
3086.1,-76.1650363
3086.2,-76.31184678
3086.3,-76.45518326
3086.4,-76.59503368
3086.5,-76.73138727
3086.6,-76.86423453
3086.7,-76.99356729
3086.8,-77.11937864
3086.9,-77.24166299
3087,-77.36041605
3087.1,-77.47563482
3087.2,-77.58731762
3087.3,-77.69546404
3087.4,-77.800075
3087.5,-77.90115271
3087.6,-77.99870068
3087.7,-78.09272373
3087.8,-78.18322795
3087.9,-78.27022074
3088,-78.3537108
3088.1,-78.43370808
3088.2,-78.51022386
3088.3,-78.58327066
3088.4,-78.65286229
3088.5,-78.71901382
3088.6,-78.78174159
3088.7,-78.84106318
3088.8,-78.89699744
3088.9,-78.94956444
3089,-78.9987855
3089.1,-79.04468316
3089.2,-79.08728116
3089.3,-79.12660447
3089.4,-79.16267925
3089.5,-79.19553285
3089.6,-79.22519379
3089.7,-79.25169177
3089.8,-79.27505763
3089.9,-79.29532337
3090,-79.31252212
3090.1,-79.32668812
3090.2,-79.33785671
3090.3,-79.34606436
3090.4,-79.35134858
3090.5,-79.35374797
3090.6,-79.35330217
3090.7,-79.35005186
3090.8,-79.34403876
3090.9,-79.33530557
3091,-79.32389598
3091.1,-79.30985469
3091.2,-79.29322731
3091.3,-79.27406043
3091.4,-79.25240153
3091.5,-79.22829904
3091.6,-79.20180223
3091.7,-79.17296127
3091.8,-79.14182717
3091.9,-79.10845177
3092,-79.07288774
3092.1,-79.03518853
3092.2,-78.99540836
3092.3,-78.95360221
3092.4,-78.9098258
3092.5,-78.86413555
